YEAR,COUNTRY,EVENT_TYPE,SUB_EVENT_TYPE,CENTROID_LATITUDE,CENTROID_LONGITUDE,EVENTS,FATALITIES
2023,Yemen,Strategic developments,Looting/property destruction,"15,3329","45,4523",8,0
2023,Yemen,Strategic developments,Looting/property destruction,"15,3931","44,4753",10,0
2023,Yemen,Strategic developments,Looting/property destruction,"15,4201","44,1919",14,0
2023,Yemen,Strategic developments,Looting/property destruction,"15,5791","40,9906",1,0
2023,Yemen,Strategic developments,Looting/property destruction,"16,0944","43,2039",2,0
2023,Yemen,Strategic developments,Looting/property destruction,"16,5962","45,5989",4,0
2023,Yemen,Strategic developments,Looting/property destruction,"17,0575","51,8238",1,0
2023,Yemen,Strategic developments,Looting/property destruction,"17,0883","44,0424",6,0
2023,Yemen,Strategic developments,Non-violent transfer of territory,"12,8058","44,788",2,0
2023,Yemen,Strategic developments,Non-violent transfer of territory,"13,2949","43,7855",1,0
2023,Yemen,Strategic developments,Non-violent transfer of territory,"13,6274","46,228",2,0
2023,Yemen,Strategic developments,Non-violent transfer of territory,"14,651","46,62",1,0
2023,Yemen,Strategic developments,Non-violent transfer of territory,"15,3329","45,4523",1,0
2023,Yemen,Strategic developments,Non-violent transfer of territory,"16,5288","48,6269",1,0
2023,Yemen,Strategic developments,Other,"12,4081","48,278",1,0
2023,Yemen,Strategic developments,Other,"12,5081","53,893",5,0
2023,Yemen,Strategic developments,Other,"12,613","43,3362",2,0
2023,Yemen,Strategic developments,Other,"12,8058","44,788",9,0
2023,Yemen,Strategic developments,Other,"13,2949","43,7855",3,0
2023,Yemen,Strategic developments,Other,"13,3204","44,7623",1,0
2023,Yemen,Strategic developments,Other,"13,6274","46,228",2,0
2023,Yemen,Strategic developments,Other,"14,0881","44,175",3,0
2023,Yemen,Strategic developments,Other,"14,326","45,216",1,0
2023,Yemen,Strategic developments,Other,"14,5395","44,3063",1,0
2023,Yemen,Strategic developments,Other,"14,651","46,62",3,0
2023,Yemen,Strategic developments,Other,"14,7791","43,2181",15,0
2023,Yemen,Strategic developments,Other,"15,3329","45,4523",3,0
2023,Yemen,Strategic developments,Other,"15,4201","44,1919",8,0
2023,Yemen,Strategic developments,Other,"15,5791","40,9906",2,0
2023,Yemen,Strategic developments,Other,"16,1156","43,9414",2,0
2023,Yemen,Strategic developments,Other,"16,5288","48,6269",4,0
2023,Yemen,Strategic developments,Other,"16,5962","45,5989",3,0
2023,Yemen,Strategic developments,Other,"17,0575","51,8238",1,0
2023,Yemen,Strategic developments,Other,"17,0883","44,0424",2,0
2023,Yemen,Violence against civilians,Abduction/forced disappearance,"12,8058","44,788",17,0
2023,Yemen,Violence against civilians,Abduction/forced disappearance,"13,2949","43,7855",15,0
2023,Yemen,Violence against civilians,Abduction/forced disappearance,"13,3204","44,7623",6,0
2023,Yemen,Violence against civilians,Abduction/forced disappearance,"13,6274","46,228",4,0
2023,Yemen,Violence against civilians,Abduction/forced disappearance,"13,8943","44,7825",8,0
2023,Yemen,Violence against civilians,Abduction/forced disappearance,"14,0881","44,175",29,0
2023,Yemen,Violence against civilians,Abduction/forced disappearance,"14,326","45,216",5,0
2023,Yemen,Violence against civilians,Abduction/forced disappearance,"14,5395","44,3063",7,0
2023,Yemen,Violence against civilians,Abduction/forced disappearance,"14,651","46,62",8,0
2023,Yemen,Violence against civilians,Abduction/forced disappearance,"14,7791","43,2181",4,0
2023,Yemen,Violence against civilians,Abduction/forced disappearance,"15,3084","43,4994",6,0
2023,Yemen,Violence against civilians,Abduction/forced disappearance,"15,3329","45,4523",6,0
2023,Yemen,Violence against civilians,Abduction/forced disappearance,"15,3931","44,4753",15,0
2023,Yemen,Violence against civilians,Abduction/forced disappearance,"15,4201","44,1919",12,0
